Name,Launch Date,Number of Cores,Number of Threads,Base clock,Turbo clock,Cache,TDP (W)
Pentium Gold G6500,2020.0,2,,4.1,,4.0,
Core i5-9400,2019.0,6,6.0,2.9,4.1,65.0,9.0
Core i5-10400,2020.0,6,12.0,2.9,4.3,65.0,12.0
Core i5-10400,2020.0,6,12.0,2.9,4.3,65.0,12.0
Core i5-11400,2021.0,6,12.0,2.6,4.4,65.0,12.0
Core i9-10900,2020.0,10,20.0,2.8,5.2,65.0,20.0
Core i7-10700,2020.0,8,16.0,2.9,4.8,65.0,16.0
Core i9-11900,2021.0,8,16.0,2.5,5.2,65.0,16.0
Core i7-10700,2020.0,8,16.0,2.9,4.8,65.0,16.0
Core i9-10850K,2020.0,10,20.0,3.6,5.2,125.0,20.0
Pentium Gold G5420,2019.0,2,,3.8,,4.0,
Core i3-9100,2019.0,4,4.0,3.6,4.2,65.0,6.0
Core i5-9400F,2019.0,6,6.0,2.9,4.1,65.0,9.0
Core i7-12700K,2021.0,12,20.0,3.6,5.0,125.0,25.0
Core i9-9980HK,2019.0,8,16.0,2.4,5.0,45.0,16.0
Core i5-9600KF,2019.0,6,6.0,3.7,4.6,95.0,9.0
Core i7-12700K,2021.0,12,20.0,3.6,5.0,125.0,25.0
Core i3-10100Y,2021.0,2,4.0,1.3,3.9,5.0,4.0
Core i7-9700F,2019.0,8,8.0,3.0,4.7,65.0,12.0
Core i9-9900KF,2019.0,8,16.0,3.6,5.0,95.0,16.0
Core i7-11700,2021.0,8,16.0,2.5,4.9,65.0,16.0
Core i9-11900,2021.0,8,16.0,2.5,5.2,65.0,16.0
Core i5-9400F,2019.0,6,6.0,2.9,4.1,65.0,9.0
Core i7-10700,2020.0,8,16.0,2.9,4.8,65.0,16.0
Core i5-11600,2021.0,6,12.0,2.8,4.8,65.0,12.0
Core i3-9100F,2019.0,4,4.0,3.6,4.2,65.0,6.0
Core i9-11900,2021.0,8,16.0,2.5,5.2,65.0,16.0
Core i9-9900KF,2019.0,8,16.0,3.6,5.0,95.0,16.0
Core i3-10325,2021.0,4,8.0,3.9,4.7,65.0,8.0
