name,model
"Intel 10th Gen Comet Lake Pentium Gold G6500T Processor 4M Cache, up to 3.50 GHz",G6500
9th Gen Intel® Core™ i5-9400  Desktop Processor 6 Cores up to 4.1GHz LGA 1151 (Intel® 300 Series Chipset) 65W BX80684I59400,i5-9400
"10th Gen Intel® Core™ i5-10400  Desktop Processor 12M Cache, 6 Cores up to 4.3GHz LGA 1200 (Intel® 400 Series Chipset) 65W BX8070110400",i5-1040
"Intel 10th Gen Comet Lake Core i5-10400T Processor 12M Cache, up to 3.60 GHz",i5-1040
INTEL CORE i5-11400 DESKTOP PROCESSOR,i5-1140
Intel Cascade Lake-X Core i9-10900X Extreme Edition Processor,i9-1090
"Intel 10th Gen Comet Lake Core i7-10700KF Processor 16M Cache, up to 5.00 GHz",i7-1070
Intel Core i9-11900K 11th Generation Rocket Lake Processor,i9-1190
10th Gen Intel® Core™ i7-10700K  Marvel  Desktop Processor Marvel Avengers Special Edition 8 Cores up to 5.1GHz Unlocked LGA1200 (Intel® 400 Series chipset) 95W BX8070110700KA,i7-1070
Intel 10th Gen Comet Lake Core i9-10850K 10-Core 3.6 GHz Desktop Processor BX8070110850K,i9-1085
Intel® Pentium® Gold G5420 Desktop Processor 2 Core up to 3.80 GHz LGA1151 (Intel® 300 Series chipset) 54W BX80684G5420,G5420
Intel Core i3-9100 Coffee Lake 4-Core 3.6 GHz Processor BX80684I39100,i3-9100
[RePacked] Intel Core i5-9400F LGA1151 Desktop Processor 6 Cores up to 4.10GHz 9MB Cache,i5-9400F
INTEL CIRE I7-12700F 12TH GEN ALDER LAKE 12-CORE LGA1700 DESKTOP PROCESSOR (BX8071512700F),I7-1270
Intel Core i9-9980XE Extreme Edition 3.0 GHz Eighteen-Core LGA 2066 Processor,i9-9980
9th Gen Intel® Core™ i5-9600KF Desktop Processor 6 Cores up to 4.6GHz Unlocked Without Processor Graphics LGA 1151 (Intel® 300 Series Chipset) 95W BX80684I59600KF,i5-9600KF
