ID,Category,Name,Details,URL
1,processor,"10th Gen Intel® Core™ i3-10100 Desktop Processor 6M Cache, 4 Cores up to 4.3GHz LGA 1200 (Intel® 400 Series Chipset) 65W","10th Gen Intel® Core™ i3-10100 Desktop Processor 6M Cache, 4 Cores up to 4.3GHz LGA 1200 (Intel® 400 Series Chipset) 65W",pcpricetracker.in/gen/products/07d557d19cd94fd0d1edf488a9e0a6a9
2,processor,"10th Gen Intel® Core™ i5-10400  Desktop Processor 12M Cache, 6 Cores up to 4.3GHz LGA 1200 (Intel® 400 Series Chipset) 65W BX8070110400","10th Gen Intel® Core™ i5-10400  Desktop Processor 12M Cache, 6 Cores up to 4.3GHz LGA 1200 (Intel® 400 Series Chipset) 65W BX8070110400",pcpricetracker.in/gen/products/577fedecd94d772cf2d3626c3d0f5180
3,processor,10th Gen Intel® Core™ i5-10600  Desktop Processor 6 Cores up to 4.8GHz LGA 1200 (Intel® 400 Series Chipset) 65W BX8070110600,10th Gen Intel® Core™ i5-10600  Desktop Processor 6 Cores up to 4.8GHz LGA 1200 (Intel® 400 Series Chipset) 65W BX8070110600,pcpricetracker.in/gen/products/92bae28b2a01442fbc58657ff988603f
4,processor,10th Gen Intel® Core™ i7-10700  Desktop Processor 8 Cores up to 4.8GHz LGA 1200 (Intel® 400 Series Chipset) 65W BX8070110700,10th Gen Intel® Core™ i7-10700  Desktop Processor 8 Cores up to 4.8GHz LGA 1200 (Intel® 400 Series Chipset) 65W BX8070110700,pcpricetracker.in/gen/products/f8f6e43bf12dc425a9d70a60a91a300e
5,processor,10th Gen Intel® Core™ i7-10700K  Marvel  Desktop Processor Marvel Avengers Special Edition 8 Cores up to 5.1GHz Unlocked LGA1200 (Intel® 400 Series chipset) 95W BX8070110700KA,10th Gen Intel® Core™ i7-10700K  Marvel  Desktop Processor Marvel Avengers Special Edition 8 Cores up to 5.1GHz Unlocked LGA1200 (Intel® 400 Series chipset) 95W BX8070110700KA,pcpricetracker.in/gen/products/efd212785e68b8881cd42bdeb8ff6cbe
6,processor,10th Gen Intel® Core™ i7-10700K  Desktop Processor 8 Cores up to 5.1GHz Unlocked LGA 1200 (Intel® 400 Series Chipset) 125W BX8070110700K,10th Gen Intel® Core™ i7-10700K  Desktop Processor 8 Cores up to 5.1GHz Unlocked LGA 1200 (Intel® 400 Series Chipset) 125W BX8070110700K,pcpricetracker.in/gen/products/4734e7a22be9e54487886c8ddeecb82c
7,processor,10th Gen Intel® Core™ i9-10900K Marvel Desktop Processor Marvel Avengers Special Edition 10 Cores up to 5.3GHz Unlocked LGA1200 (Intel® 400 Series chipset) 95W BX8070110900KA,10th Gen Intel® Core™ i9-10900K Marvel Desktop Processor Marvel Avengers Special Edition 10 Cores up to 5.3GHz Unlocked LGA1200 (Intel® 400 Series chipset) 95W BX8070110900KA,pcpricetracker.in/gen/products/36ca991315d6e32ddddbaed7f17d13fc
8,processor,6th Gen Intel® Core™ i3-6100  Desktop Processor 2 Core up to 3.7GHz LGA1151 (Intel® 200 Series chipset) 51W BX80662I36100,6th Gen Intel® Core™ i3-6100  Desktop Processor 2 Core up to 3.7GHz LGA1151 (Intel® 200 Series chipset) 51W BX80662I36100,pcpricetracker.in/gen/products/691ef8370fb9764b988abb784d46297b
9,processor,9th Gen Intel® Core™ i3-9100  Desktop Processor 4 Cores up to 4.2GHz LGA 1151 (Intel® 300 Series Chipset) 65W BX80684I39100,9th Gen Intel® Core™ i3-9100  Desktop Processor 4 Cores up to 4.2GHz LGA 1151 (Intel® 300 Series Chipset) 65W BX80684I39100,pcpricetracker.in/gen/products/4fa93d4bf595ca690f8b91dd72ff1bb7
10,processor,9th Gen Intel® Core™ i3-9100F  Desktop Processor 4 Cores up to 4.2GHz Without Processor Graphics LGA 1151 (Intel® 300 Series Chipset) 65W BX80684i39100F,9th Gen Intel® Core™ i3-9100F  Desktop Processor 4 Cores up to 4.2GHz Without Processor Graphics LGA 1151 (Intel® 300 Series Chipset) 65W BX80684i39100F,pcpricetracker.in/gen/products/29f4a1dbce8c3895c7998b00dd534a8f
